שם התרגיל,רמת קושי,רמת סיכון,דרופים,טיסו,טיפוסים,פוזיציות,ירידות,כוח,לאסו,מעברים,סווינגים,שונות,מומלץ חבל,מומלץ טיסו,קישור,הערות
טיפוס צרפתי,1,1,,,x,,,,,,,,,,https://youtu.be/2yQ2rMG4l_U,
טיפוס רוסי,1,1,,,x,,,,,,,,,,https://youtu.be/hTg5Ez3lIHs,
טיפוס זיקית,2,1,,,x,,,,,,,,,,https://youtu.be/38wwHIdyahQ,יד ורגל של אותו צד עולות ביחד
טיפוס קוף ספיראלה,2,2,,,x,,,,,,,,x,,https://youtu.be/clWkrdb8Usc,
טיפוס אצבעות,2,1,,,x,,,,,,,,x,,https://youtu.be/EfJjnN70jGY,לשים לב לא לדמם על החבל
טיפוס קוף ספיראלה,2,2,,x,x,,,,,,,,,,https://youtu.be/y_3v_hrHyhI,
טיפוס מדרגות,2,1,,,x,,,,,,,,,,,
טיפוס סטרדלים כפול,3,2,,x,x,,,,,,,,,,https://youtu.be/wTHjY2sP8eg,
טיפוס ווג'אינה,3,2,,,x,,,,,,,,,,,צריך שם אחר
טיפוס מפתחות בטן,3,2,,,x,,,,,,,,,,,
טיפוס סטרדלים,4,2,,,x,,,x,,,,,,,https://youtu.be/dy-sWePfd4Q,
טיפוס שני ז'רה,4,1,,,x,,,x,,,,,,,https://youtu.be/ELf0FRw3v3s,
טיפוס ז'רה,4,1,,x,x,,,,,,,,,,https://youtu.be/PWZJEEsSLr0,
דולפין חופשי,4,2,,x,x,,,,,,,,,,https://youtu.be/WGB0oXtc9Z4,
טיפוס בלי רגליים,4,1,,,x,,,x,,,,,,,,
טיפוס בסווינגים,4,1,,,x,,,x,,,x,,,,,
טיפוס דולפין,4,2,,x,x,,,,,,,,,,,
טיפוס מפתח הבטן,4,2,,,x,,,,,,,,,,,
טיפוס סקורפיונים,4,2,,,x,,,,,,,,,,,
טיפוס סטרדלים בסווינג,5,3,,,x,,,,,,x,,x,,https://youtu.be/VhK763bULME,
טיפוס שמיניות,5,3,,,x,,,,,,x,,x,,https://youtu.be/YW8Zm7ZUQqg,
טיפוס אלפאנט ליפט,5,2,,,x,,,x,,,,,,,,
רול אפ,6,3,,,x,,,x,,,,,,,,
ספה,1,1,,x,,x,,,,,,,,,https://youtu.be/_RFYzk333VM,
החזקת רצועות,1,1,,x,,x,,,,,,,,,https://youtu.be/8oANx8wgITA,
רגל דוקרת,1,1,,,,x,,,,,,,,,https://youtu.be/9wbVK7Y6kUU,להסתכל קדימה
שני מפתחות רגל קדימה,1,1,,x,,x,,,,,,,,,https://youtu.be/HFrkf0nQfA4,
פרונט בלאנס,1,1,,,,x,,,,,,,,,https://youtu.be/ka-IE4JzIwY,
סטרדל,1,1,,,,,,x,,,,,,,https://youtu.be/M4-wmRT9zAw,נסה/י לעשות את הסטרדל בלי להתנדנד מחוץ למזרון
מפתח הרגל,1,1,,,,x,,,,,,,,,https://youtu.be/S1Ys1Mkr7eg,לשמור על פלקס ברגל התחתונה
גאזל,1,1,,x,,x,,,,,,,,,https://youtu.be/wo_kgjJ_qis,לשים לב שהטיסו ישאר בבית שחי
איש על הירח,1,1,,x,,x,,,,,,,,,,לשים לב לא לדחוף את הטיסו מעבר לקרסול
נדנדה,1,1,,x,,x,,,,,,,,,,
שפגט,1,1,,x,,x,,,,,,,,,,דרך מעולה לעבוד על הגמישות
שוט קרסוליים,2,1,x,,,,,,,,,,,x,https://youtu.be/AzTX0wcSKMY,
שוט ברכיים,2,2,x,,,,,,,,,,,,https://youtu.be/PKdUE89ufL0,
שוט חלון,2,1,x,x,,,,,,,,,,,,
איקס בגב (שני מפתחות רגל),2,1,,x,,x,,,,,,,,,https://youtu.be/1sa9Pm5Mmc0,
כוכב (מפתח הרגל),2,1,,,,x,,,,,,,,,https://youtu.be/37oZKRvegKg,
תליית רגל,2,1,,,,x,,,,,,,,,https://youtu.be/6odKie5TRog,
קופידון,2,1,,,,x,,,,,,,,,https://youtu.be/7lNgU-SiG5s,
כוכב,2,1,,,,x,,,,,,,,,https://youtu.be/9D3PBoEUc78,להסתכל קדימה
סיבובי נינג'ה,2,1,,x,,,,,,x,,,,,https://youtu.be/AgfVqWhORps,
שני מפתחות רגל אחורה,2,1,,x,,x,,,,,,,,,https://youtu.be/aPwdy5zbnq0,
סביבון,2,1,,,,,,,,,,x,,,https://youtu.be/Bn56IYCknb8,
קשר,2,1,,x,,,,,,,,x,,,https://youtu.be/fDCuJLVhpXs,
תנינים,2,1,,,,x,,,,,,,,,https://youtu.be/GB9VTBGHCD0,
הפוך (שני מפתחות רגל),2,2,,x,,x,,,,,,,,,https://youtu.be/HQwtNR-i_zs,
סטרונג מן,2,2,,x,,x,,,,,,,,,https://youtu.be/LWz4zKS2J9U,
קאצ'ר רגל ישרה,2,1,,,,x,,,,,,,,,https://youtu.be/N9RtXMNQt9I,
שפגט גאזל,2,1,,x,,,,,,,,,,,https://youtu.be/P9mus2sWwlc,דורש גמישות
רגל קרושה,2,1,,x,,x,,,,,,,,,https://youtu.be/sBak70AClR8,
קאצ'ר,2,1,,,,x,,,,,,,x,,https://youtu.be/T0nUy81UOvg,
בית קפה,2,1,,,,x,,,,,,,,,https://youtu.be/vR0kRqb162o,
הפוך (מפתח הרגל),2,2,,,,x,,,,,,,,,https://youtu.be/vZZ0119ZpPc,
זריקת רגל,2,1,,x,,,,,,x,,,,,https://youtu.be/YbGqVbcaVWM,
קרסוליים,2,1,,,,x,,,,,,,,,https://youtu.be/Z5h8GgzA0qg,
כוכב נופל,3,2,x,,,,,,,,,,,,https://youtu.be/-BAl2D7AdmU,"אם עושים על חבל מומלץ להיזהר על הסובבים, יש לחבל נטיה להצליף"
בורג,3,2,x,,,,,,,,,,,,https://youtu.be/-cexr2-v0yM,
טולופ,3,2,x,,,,,,,,,,,,https://youtu.be/33BUe26sQzA,
דרופ קרמן,3,2,x,x,,,,,,,,,,,https://youtu.be/5anwcGoIwfw,
טינקרבל,3,2,x,x,,,,,,,,,,,https://youtu.be/7qLqwWx0V0w,
דרופ נדנדה קדימה,3,2,x,x,,,,,,,,,,,https://youtu.be/B-wnf17kzYQ,
לפתוח לסגור,3,2,x,,,,,,,,,,,x,https://youtu.be/Dp86aUC9FoM,
מסחטה,3,2,x,,,,,,,,,,,,https://youtu.be/f2HbQepU7AY,
טיפה,3,4,x,,,,,,,x,,,,,https://youtu.be/FHggx6FtQD8,
דרופ הפוך,3,2,x,x,,,,,,,,,,,https://youtu.be/G4oqDvQfg8A,
סט 4 קאצ'ר,3,3,x,,,,,,,,,,,,https://youtu.be/KoF-S2-zDJ8,
דרופ נדנדה אחורה,3,2,x,x,,,,,,,,,,,https://youtu.be/mUUUvknnwCA,
גלגלון,3,2,x,,,,,,,,,,,,https://youtu.be/PAOSFLsvBF0,יש לתרגיל נטיה לקרוע חולצות שלא מכניסים למכנסיים
גלגלון לשוט ברכיים,3,2,x,,,,,,,,,,,x,https://youtu.be/snu0Z6On--E,
סלטה למזרון,3,3,x,,,,,,,,,x,,,https://youtu.be/tjJl68aV_Oc,
פופיק,3,2,x,x,,,,,,,,,,,https://youtu.be/wc8ur6xy458,
ספייס דרופ,3,2,x,,,,,,,,,,,,https://youtu.be/YISoLzxpHPc,
יציאה מנדנדה,3,2,x,x,,,,,,,,,,,,
סבתא סורגת,3,2,x,x,,,,,,,,,,,,
אנג'ל לישו,3,3,x,x,,,,,,,,,,,,
קוריאני,3,3,x,x,,,,,,,,,,,,
טיפה,3,2,,,,x,,,,,,,,,https://youtu.be/-Ow8lYcPYDs,
ירידה בלי רגליים,3,1,,,,,x,x,,,,,,,https://youtu.be/0j62dwkK47M,
דגל,3,1,,,,x,,x,,,,,,,https://youtu.be/0JAqBrvY4pI,
מקרמה למפתח הבטן,3,2,,,,,,,,x,,,x,,https://youtu.be/1voogMJdnBU,
עמידת ידיים,3,2,,x,,x,,,,,,,,,https://youtu.be/2XpTG7s3j7o,
מפתח הבטן,3,1,,,,x,,,,,,,,,https://youtu.be/3lB0rMf7XmE,
באק לולאה לכיסא,3,2,,,,,,,,x,,x,,,https://youtu.be/7R2N4UJQ07I,
סטרדלים (סווינג),3,2,,,,,,x,,,x,,,,https://youtu.be/9G26ZF83ln8,
להוריד חולצה,3,2,,,,,,,,x,,,,,https://youtu.be/9sVyTa-5QFQ,אפשר לעצור במפתח הבטן אחרי שמורידים את החבל/טיסו
כיסא גיברת,3,2,,x,,x,,,,,,,,,https://youtu.be/BiawNZp3zmM,דרופ +
עלה ברוח כפול,3,3,,,,,x,,,,x,,x,,https://youtu.be/BYjhlikzUqk,התרגיל מסוכן יותר על טיסו מכיוון שיותר קשה לטפוס
יולדת,3,2,,,,,,,,x,,,,,https://youtu.be/Cy_VMUZ8c_U,
כניסת X לבילאי,3,2,,x,,,,,,x,,,,,https://youtu.be/d5GzoeV4cEY,הכניסה הסטנדרטית נקראת בילאי
רצף קיימטנים פרונט,3,2,,,,,,,,x,,,,,https://youtu.be/DsxLOWMWUWg,
ספיידרמן,3,2,,x,,,x,,,,,,,,https://youtu.be/eFKLa42Qukw,
צלב,3,2,,x,,x,,,,,,,,,https://youtu.be/EYtkCZwm6_w,
כוכב נינג'ה,3,2,,,,,,,,,x,,,,https://youtu.be/fePokMLqx9o,
בוקס,3,2,,,,x,,,,,,,,,https://youtu.be/FTjwmUVDJBA,
באק בלאנס,3,2,,,,x,,,,,,,,,https://youtu.be/gIdNw72Wb84,
אלבו האנג,3,2,,,,x,,,,,,,,,https://youtu.be/GuJ-ulcm4ZM,
יהלום,3,1,,x,,x,,,,,,,,,https://youtu.be/hy6WWf6EAew,
שפגט צד לסקורפיון,3,2,,,,x,,,,x,,,,,https://youtu.be/i2CYFz0LoeU,
גלגלון אלכסון,3,3,,,,,x,,,,,,,x,https://youtu.be/J6N6g09YJsI,"התרגיל פוגע בחבל, לכן מומלץ על טיסו"
סווינג גבוה לבאק (שגיא),3,3,,,,,,,,x,x,,x,,https://youtu.be/jbinsZcAHIA,
קפיצה לבאק,3,3,,,,,,,,,,x,x,,https://youtu.be/JjxHi8zJA8U,"יהיה מאוד קשה לטפוס טיסו מספיק טוב, לכן התרגיל מומלץ על חבל"
קפיצה מז'רה לבאק,3,2,,,,,,,,x,,,,,https://youtu.be/Mm00HhjrWkA,
צלוב לפרופלור,3,3,,,,,,,,x,,,,x,https://youtu.be/n184o3JTy1E,
פורפרה,3,1,,,,,,,,,,x,,,https://youtu.be/noULdq_ucB0,
שפגט לולאות,3,2,,x,,x,,,,,,,,,https://youtu.be/OB0Jppc1sHM,לא דורש שפגט
כיסא,3,1,,x,,x,,,,,,,,,https://youtu.be/p0tOjxEZdWw,
קפיצה לפרונט,3,3,,,,,,,,,,x,x,,https://youtu.be/PV2RlkJMp1g,"יהיה מאוד קשה לטפוס טיסו מספיק טוב, לכן התרגיל מומלץ על חבל"
בילאי,3,2,,x,,x,,,,,,,,,https://youtu.be/qvILiZRJ1NA,
קשר מקאצ'ר,3,2,,,,,,,,,,x,,,https://youtu.be/teXjkT9Hg68,"זאת כניסה מסורבלת, לכניסה הרגילה קוראים קשר"
ירידה ברגליים חונקות,3,1,,,,,x,x,,,,,,,https://youtu.be/tmPoYGZCXME,
מפתח בטן מקאצ'ר,3,2,,,,,,,,x,,,,,https://youtu.be/tZrygHSuyLE,
מעבר טיפה,3,2,,,,,,,,x,,,,,https://youtu.be/VhAKvRNUikw,
נק בלאנס,3,2,,,,x,,,,,,,,,https://youtu.be/w2s4MAe90io,
כניסה לסייד,3,2,,,,x,,,,,,,,,https://youtu.be/Wc3tNri2Q3w,"מומלץ להיכנס בסווינג, זה יפה יותר"
עלה ברוח,3,3,,,,,x,,,,x,,x,,https://youtu.be/WL63CuvWw0g,התרגיל מסוכן יותר על טיסו מכיוון שיותר קשה לטפוס
שפגט בילאי,3,2,,x,,x,,,,,,,,,https://youtu.be/XHrAqEham_c,כדאי לוודאות לפני שיש מספיק שארית לטיסו
מקרמה רגיל,3,2,,,,,,,,x,,,x,,https://youtu.be/yA-Q623PV-8,
מקרמה,3,2,,,,x,,,,,,,x,,https://youtu.be/yGrrlXyg_k0,
להשתזף,3,1,,,,x,,,,,,,,,https://youtu.be/YjP1VYYrZLQ,
ירידה בקאצ'ר,3,1,,,,,x,,,,,,,,https://youtu.be/ZgtofLrZ708,
מיטוק,3,1,,,,,,x,,,,,,,,
דרופ נדנדה,3,2,,,,,,,,,,,,,,
ירידה במדרגות,3,2,,,,,x,,,,,,,,,
פגודה פופ,3,2,,x,,x,,,,,,,,,,
פיטר פן,3,2,,,,x,,,,,,,,,,
גלגלון רגל פתוחה,3,3,,,,,x,,,,,,,x,,"התרגיל פוגע בחבל, לכן מומלץ על טיסו"
עכבר במעגל,3,3,,,,,x,,,,,,,x,,"התרגיל פוגע בחבל, לכן מומלץ על טיסו"
דרופ באק לפרונט,4,4,x,,,,,,,x,,,x,,https://youtu.be/cI9o5KK83KE,
סלטה פתוחה,4,3,x,,,,,,,x,,,,,https://youtu.be/LI6Lxq9_2tQ,
בלרינה,4,3,x,,,x,,,,,,,,,https://youtu.be/NssEM6EqcTo,
פחד מוות,4,4,x,,,,,,,,,,,,https://youtu.be/OJ_dPT_NnUw,
חרגולי,4,2,x,,,,,,,,,,,,https://youtu.be/savmugxTyM8,
דגל לבאק,4,3,x,,,,,,,x,,,,,https://youtu.be/TbdOwTP2jZM,
צלב לפרופלור,4,3,x,x,,,,,,x,,,,,https://youtu.be/XjP-40-7ve8,
שוט קאצ'ר (מאחור),4,,x,,,,,,,x,,,,,,
